target,v1,v2,v3,v4,v5,v6,v7,v8,sample_type
4.5354218436533,403.41371409464,250.127633923869,484.19584853282,356.23246115445,448.17693545174,201.10611908825,537.812322542088,4002.0421427819,lab 2
4.5459242178545,430.62446932145,255.479308031906,614.72929842046,393.14366265595,567.55473396728,232.02434105723,681.065680760736,4087.6689285105,lab 1
4.9087842620657,288.77259048032,265.352161135181,482.11950644142,357.92350091122,420.67488890586,241.77857884456,504.809866687032,4245.6345781629,lab 1
4.5920220244129,323.33743225735,255.768839984181,567.45183305417,347.6610783783,469.75045851855,247.60616996445,563.70055022226,4092.3014397469,lab 1
5.0717550479656,322.09278058199,289.931072089563,469.93355329758,366.2868321349,480.22938195393,269.21616908809,576.275258344716,4638.897153433,lab 1
4.7961742800078,400.32252251095,278.999522610938,579.32141547567,392.02546965222,544.60320881499,228.49744129821,653.523850577988,4463.992361775,lab 2
4.76437490252,409.91864079959,280.026169024563,504.28251512185,411.59169725812,484.23841399214,234.58208685076,581.086096790568,4480.418704393,lab 1
4.6236431410448,416.0890064973,256.634190878481,440.03534777949,396.35135655124,491.74687285335,201.91524113792,590.09624742402,4106.1470540557,lab 1
5.1301038420804,481.12906792777,300.037082441594,522.62060150842,428.43374703316,530.23335053257,268.38317311745,636.280020639084,4800.5933190655,lab 1
4.5672449095173,485.04147430759,263.765310965469,595.56467325389,397.25435451321,623.98235966773,235.16063181844,748.778831601276,4220.2449754475,lab 2
4.827541195954,390.38765774199,284.177576415656,570.98593032407,386.32048938738,514.32847005336,270.79464139094,617.194164064032,4546.8412226505,lab 1
4.7625277422401,358.39370838346,289.835684801856,636.22988349657,351.59719699383,536.63702885538,323.77091773195,643.964434626456,4637.3709568297,lab 2
4.661593538501,444.12990923428,257.833642512681,615.32727833398,346.52586134429,469.91362288958,277.71819222065,563.896347467496,4125.3382802029,lab 2
4.8698091071428,478.07380990456,287.056720883856,492.18616585226,400.84998052878,512.22761021426,217.00278633782,614.673132257112,4592.9075341417,lab 1
4.6998509513351,448.32059957625,274.320913857388,554.9715129821,433.99889805611,623.70063829656,228.27988371183,748.440765955872,4389.1346217182,lab 2
4.9649774769498,355.98453720685,299.071664510306,443.98342756776,371.89274384894,468.3828994575,217.55330714839,562.059479349,4785.1466321649,lab 1
4.7830882548875,376.16144030202,283.881121396463,443.31744976533,369.33731512146,438.02069541641,222.94036221228,525.624834499692,4542.0979423434,lab 2
4.5679108973189,400.46947882504,267.187256531638,512.1702605749,357.6613630006,523.18009045745,235.93669760414,627.81610854894,4274.9961045062,lab 2
4.5262871183778,485.84929917858,249.815231416931,545.01724244293,380.43746548018,621.10558388718,216.40520395063,745.326700664616,3997.0437026709,lab 1
4.787898191108,526.30715099182,261.614272567344,652.01359565922,416.63465113923,586.03032686117,324.58895995339,703.236392233404,4185.8283610775,lab 1
4.9067592035732,564.59942349299,257.604407714906,657.86723070714,441.32173909971,620.31433083631,304.39526408364,744.377197003572,4121.6705234385,lab 1
4.6518734123003,403.26844348525,263.803238695613,514.97467537669,389.74505301365,528.61297079003,233.31347605706,634.335564948036,4220.8518191298,lab 1
4.634885384263,375.22529144593,268.992526859925,573.19023023011,344.42132165489,488.54510246278,252.60400497094,586.254122955336,4303.8804297588,lab 1
4.6057639076157,519.67582061495,264.440615595575,566.18722230678,417.17830980564,594.80345580122,222.81184604967,713.764146961464,4231.0498495292,lab 1
4.7468975124427,457.76312883811,263.207435774056,593.34811743693,368.07106355547,559.83736107249,247.00966235273,671.804833286988,4211.3189723849,lab 1
4.5467997362971,531.26780059939,252.937285805394,650.48862764627,363.40669332704,655.1273343003,259.91054301953,786.15280116036,4046.9965728863,lab 1
